Trade_ID,Entry_Time,Exit_Time,Direction,Entry_Price,Exit_Price,P&L,P&L_%,R_Multiple,Exit_Reason
55,2025-03-24 10:00:00+00:00,2025-03-24 13:00:00+00:00,long,1.0850694179534912,1.0799567779302597,-153.28339175476168,-1.5328339175476169,-1.013691556550417,stop_loss
56,2025-03-19 09:00:00+00:00,2025-03-26 17:00:00+00:00,short,1.0905125141143799,1.0768989671766758,376.0888044141266,3.760888044141266,0.0,take_profit
57,2025-03-25 20:00:00+00:00,2025-03-27 11:00:00+00:00,short,1.079563856124878,1.079563856124878,-2.4331697625990394,-0.024331697625990394,0.0,stop_loss
58,2025-03-31 16:00:00+01:00,2025-04-02 15:00:00+01:00,short,1.0796804428100586,1.085611952662468,-156.34216644080803,-1.5634216644080803,-1.01180137970631,stop_loss
59,2025-03-24 15:00:00+00:00,2025-04-02 16:00:00+01:00,short,1.0797970294952393,1.0865552503466605,-150.45621159375222,-1.5045621159375222,-1.010357755619259,stop_loss
60,2025-04-02 15:00:00+01:00,2025-04-03 11:00:00+01:00,long,1.0860122442245483,1.1061012814939017,384.95053781089723,3.8495053781089723,0.0,take_profit
61,2025-04-08 07:00:00+01:00,2025-04-08 15:00:00+01:00,long,1.0979359149932861,1.0899672578573227,-157.0585695596259,-1.5705856955962592,-1.0087844160949129,stop_loss
62,2025-04-08 23:00:00+01:00,2025-04-09 18:00:00+01:00,long,1.0970927476882935,1.0970927476882935,-1.3291231203038703,-0.013291231203038703,0.0,stop_loss
63,2025-04-15 01:00:00+01:00,2025-04-21 00:00:00+01:00,short,1.1330161094665527,1.1430367049574852,-154.38610030883203,-1.5438610030883202,-1.0069856127875179,stop_loss
64,2025-04-17 14:00:00+01:00,2025-04-21 00:00:00+01:00,short,1.1363636255264282,1.1421233437657357,-155.17839587443814,-1.5517839587443814,-1.0121533722816998,stop_loss
65,2025-04-28 09:00:00+01:00,2025-04-28 15:00:00+01:00,short,1.1346874237060547,1.1396513766646386,-150.7681504522081,-1.5076815045220808,-1.0141016646579928,stop_loss
